Time,GLOBAL time,Water Temperature,Oil Temperature,num sats
103527469,11/10/24_10:2:32.788,1662,1665,134217728
104593822,11/10/24_10:2:33.848,1663,1666,134217728
105593465,11/10/24_10:2:34.848,1663,1665,134217728
106593467,11/10/24_10:2:35.848,1664,1666,134217728
107594471,11/10/24_10:2:36.848,1664,1665,134217728
108594462,11/10/24_10:2:37.848,1665,1666,134217728
109594464,11/10/24_10:2:38.848,1665,1666,134217728
110752656,11/10/24_10:2:40.8,1665,1666,134217728
111752469,11/10/24_10:2:41.8,1666,1666,134217728
112752467,11/10/24_10:2:42.7,1666,1666,134217728
113753468,11/10/24_10:2:43.7,1667,1666,134217728
114753470,11/10/24_10:2:44.7,1667,1666,134217728
115753466,11/10/24_10:2:45.7,1668,1665,134217728
116761807,11/10/24_10:2:46.27,1668,1666,134217728
117761469,11/10/24_10:2:47.27,1668,1665,134217728
118761466,11/10/24_10:2:48.27,1668,1665,134217728
119761468,11/10/24_10:2:49.27,1668,1665,134217728
120761464,11/10/24_10:2:50.7,1669,1665,134217728
121761464,11/10/24_10:2:51.27,1669,1664,134217728
122770660,11/10/24_10:2:52.27,1669,1665,134217728
123770468,11/10/24_10:2:53.27,1669,1664,134217728
124770468,11/10/24_10:2:54.27,1670,1664,134217728
125770465,11/10/24_10:2:55.27,1670,1664,134217728
126770468,11/10/24_10:2:56.27,1670,1663,134217728
127770467,11/10/24_10:2:57.27,1670,1664,134217728
128779066,11/10/24_10:2:58.47,1670,1664,134217728
129778473,11/10/24_10:2:59.47,1669,1664,134217728
130778467,11/10/24_10:3:0.47,1670,1663,134217728
131778468,11/10/24_10:3:1.47,1670,1663,134217728
132778470,11/10/24_10:3:2.47,1670,1663,134217728
133778468,11/10/24_10:3:3.47,1670,1662,134217728
134791068,11/10/24_10:3:4.47,1670,1662,150994944
135790468,11/10/24_10:3:5.47,1670,1662,150994944
136790469,11/10/24_10:3:6.47,1669,1662,150994944
137790467,11/10/24_10:3:7.47,1670,1662,150994944
